offset	count	policy	machine
1319217182156867	2	conservative	roncador
1319217198156867	2	conservative	roncador
1319217203156867	34	conservative	roncador
1319217228156867	1	conservative	roncador
1319217229156867	1	conservative	roncador
1319217257156867	2	conservative	roncador
1319217258156867	2	conservative	roncador
1319217264156867	34	conservative	roncador
1319217288156867	2	conservative	roncador
1319217318156867	2	conservative	roncador
1319217325156867	34	conservative	roncador
1319217332156867	2	conservative	roncador
1319217348156867	2	conservative	roncador
1319217358156867	6	conservative	roncador
1319217378156867	2	conservative	roncador
1319217386156867	34	conservative	roncador
1319217407156867	2	conservative	roncador
1319217408156867	2	conservative	roncador
1319217438156867	2	conservative	roncador
1319217447156867	34	conservative	roncador
1319217468156867	2	conservative	roncador
1319217481156867	2	conservative	roncador
1319217498156867	2	conservative	roncador
1319217508156867	34	conservative	roncador
1319217528156867	2	conservative	roncador
1319217556156867	2	conservative	roncador
1319217558156867	2	conservative	roncador
1319217569156867	33	conservative	roncador
1319217570156867	1	conservative	roncador
1319217588156867	2	conservative	roncador
1319217018156867	40	fast	roncador
1319217020156867	352	fast	roncador
1319217032156867	16	fast	roncador
1319217044059669	2	conservative	stuart
1319217119059669	2	conservative	stuart
1319217194059669	4	conservative	stuart
1319217269059669	2	conservative	stuart
1319217344059669	2	conservative	stuart
1319217419059669	2	conservative	stuart
1319217494059669	2	conservative	stuart
1319217569059669	4	conservative	stuart
1319217044059669	20	fast	stuart
1319217014887117	2	conservative	traira
1319217031887117	109	conservative	traira
1319217033887117	4	conservative	traira
1319217044887117	2	conservative	traira
1319217046887117	4	conservative	traira
1319217047887117	19092	conservative	traira
1319217048887117	13226	conservative	traira
1319217073887117	103	conservative	traira
1319217074887117	7	conservative	traira
1319217089887117	8	conservative	traira
1319217095887117	42	conservative	traira
1319217103887117	7	conservative	traira
1319217104887117	2	conservative	traira
1319217134887117	2	conservative	traira
1319217147887117	434	conservative	traira
1319217149887117	62	conservative	traira
1319217163887117	40	conservative	traira
1319217164887117	2	conservative	traira
1319217173887117	38	conservative	traira
1319217174887117	1	conservative	traira
1319217184887117	39	conservative	traira
1319217194887117	41	conservative	traira
1319217215887117	39	conservative	traira
1319217224887117	2	conservative	traira
1319217225887117	38	conservative	traira
1319217226887117	1	conservative	traira
1319217254887117	2	conservative	traira
1319217264887117	39	conservative	traira
1319217274887117	39	conservative	traira
1319217284887117	2	conservative	traira
1319217314887117	2	conservative	traira
1319217327887117	39	conservative	traira
1319217338887117	39	conservative	traira
1319217344887117	2	conservative	traira
1319217348887117	38	conservative	traira
1319217349887117	1	conservative	traira
1319217359887117	39	conservative	traira
1319217369887117	38	conservative	traira
1319217370887117	1	conservative	traira
1319217374887117	2	conservative	traira
1319217403887117	39	conservative	traira
1319217404887117	2	conservative	traira
1319217413887117	38	conservative	traira
1319217414887117	1	conservative	traira
1319217423887117	39	conservative	traira
1319217433887117	16	conservative	traira
1319217434887117	2	conservative	traira
1319217435887117	39	conservative	traira
1319217443887117	12	conservative	traira
1319217446887117	39	conservative	traira
1319217456887117	39	conservative	traira
1319217464887117	2	conservative	traira
1319217466887117	39	conservative	traira
1319217476887117	3	conservative	traira
1319217477887117	36	conservative	traira
1319217478887117	64	conservative	traira
1319217479887117	48	conservative	traira
1319217480887117	92	conservative	traira
1319217481887117	276	conservative	traira
1319217482887117	198	conservative	traira
1319217483887117	246	conservative	traira
1319217484887117	330	conservative	traira
1319217485887117	102	conservative	traira
1319217486887117	186	conservative	traira
1319217487887117	135	conservative	traira
1319217488887117	114	conservative	traira
1319217489887117	132	conservative	traira
1319217491887117	54	conservative	traira
1319217492887117	150	conservative	traira
1319217493887117	17	conservative	traira
1319217494887117	129	conservative	traira
1319217495887117	181	conservative	traira
1319217496887117	171	conservative	traira
1319217497887117	62	conservative	traira
1319217498887117	7	conservative	traira
1319217499887117	282	conservative	traira
1319217500887117	312	conservative	traira
1319217501887117	6	conservative	traira
1319217502887117	72	conservative	traira
1319217503887117	288	conservative	traira
1319217504887117	192	conservative	traira
1319217505887117	66	conservative	traira
1319217506887117	114	conservative	traira
1319217507887117	271	conservative	traira
1319217508887117	259	conservative	traira
1319217509887117	42	conservative	traira
1319217510887117	378	conservative	traira
1319217511887117	78	conservative	traira
1319217512887117	6	conservative	traira
1319217513887117	60	conservative	traira
1319217514887117	240	conservative	traira
1319217515887117	14	conservative	traira
1319217517887117	18	conservative	traira
1319217518887117	37	conservative	traira
1319217520887117	1	conservative	traira
1319217524887117	2	conservative	traira
1319217534887117	1	conservative	traira
1319217535887117	37	conservative	traira
1319217547887117	38	conservative	traira
1319217554887117	2	conservative	traira
1319217558887117	37	conservative	traira
1319217559887117	1	conservative	traira
1319217569887117	38	conservative	traira
1319217577887117	111	conservative	traira
1319217578887117	329	conservative	traira
1319217579887117	215	conservative	traira
1319217580887117	269	conservative	traira
1319217581887117	104	conservative	traira
1319217582887117	114	conservative	traira
1319217583887117	2	conservative	traira
1319217584887117	4	conservative	traira
1319217586887117	24	conservative	traira
1319217587887117	10	conservative	traira
1319217588887117	38	conservative	traira
1319217589887117	458	conservative	traira
1319217590887117	1	conservative	traira
1319217014887117	24730	fast	traira
1319217015887117	8315	fast	traira
1319217016887117	91	fast	traira
1319217163887117	626	fast	traira
1319217164887117	5495	fast	traira
1319217165887117	153	fast	traira
1319217166887117	498	fast	traira
1319217167887117	274	fast	traira
1319217168887117	176	fast	traira
1319217169887117	210	fast	traira
1319217170887117	100	fast	traira
1319217171887117	16	fast	traira
1319217172887117	2	fast	traira
1319217174887117	24	fast	traira
1319217175887117	10	fast	traira
1319217176887117	24	fast	traira
1319217177887117	473	fast	traira
1319217433887117	24	fast	traira
